date,symbol,rating
2024-08-13,MTL,4.05
2024-08-13,MVL,4.05
2024-08-13,FLM,4.05
2024-08-13,LOKA,4.03
2024-08-13,ATM,4.02
2024-08-13,MLN,4.02
2024-08-13,LON,4.01
2024-08-13,VAI,3.96
2024-08-13,MX,3.95
2024-08-13,EWT,3.94
2024-08-13,STPT,3.94
2024-08-13,YFII,3.94
2024-08-13,BCH,3.94
2024-08-13,TRX,3.94
2024-08-13,OMG,3.93
2024-08-13,NULS,3.89
2024-08-13,ALPINE,3.87
2024-08-13,DKA,3.87
2024-08-13,ENJ,3.86
2024-08-13,DGB,3.83
2024-08-13,RAD,3.82
2024-08-13,DAO,3.81
2024-08-13,QRL,3.79
2024-08-13,WAXP,3.79
2024-08-13,GTC,3.78
2024-08-13,BLZ,3.76
2024-08-13,TRU,3.74
2024-08-13,REEF,3.74
2024-08-13,ACA,3.73
2024-08-13,XCN,3.73
2024-08-13,XPR,3.73
2024-08-13,CHEEL,3.72
2024-08-13,OAX,3.7
2024-08-13,XDC,3.7
2024-08-13,LPT,3.69
2024-08-13,DF,3.69
2024-08-13,DODO,3.66
2024-08-13,ACH,3.64
2024-08-13,ORAI,3.64
2024-08-13,1INCH,3.63
2024-08-13,XVS,3.62
2024-08-13,AERGO,3.62
2024-08-13,NYM,3.61
2024-08-13,GAS,3.57
2024-08-13,NPT,3.55
2024-08-13,POND,3.53
2024-08-13,ISIKC,3.53
2024-08-13,CSPR,3.52
2024-08-13,DUSK,3.51
2024-08-13,SC,3.5
2024-08-13,LUNC,3.46
2024-08-13,ALICE,3.44
2024-08-13,ANT,3.43
2024-08-13,FXS,3.39
2024-08-13,FLOW,3.38
2024-08-13,LOOM,3.38
2024-08-13,BGB,3.38
2024-08-13,MOC,3.38
2024-08-13,XCAD,3.38
2024-08-13,BOSON,3.37
2024-08-13,META,3.36
2024-08-13,ASD,3.35
2024-08-13,API3,3.33
2024-08-13,MXC,3.33
2024-08-13,ETHW,3.33
2024-08-13,DFI,3.31
2024-08-13,XRD,3.3
2024-08-13,WXT,3.3
2024-08-13,XLM,3.29
2024-08-13,EVER,3.28
2024-08-13,POWR,3.28
2024-08-13,ARK,3.28
2024-08-13,AMO,3.28
2024-08-13,STG,3.28
2024-08-13,XAUt,3.26
2024-08-13,NTRN,3.25
2024-08-13,IOTX,3.23
2024-08-13,ID,3.22
2024-08-13,ILV,3.2
2024-08-13,LSK,3.2
2024-08-13,T,3.19
2024-08-13,VRA,3.18
2024-08-13,BONE,3.17
2024-08-13,GRS,3.13
2024-08-13,FLUX,3.12
2024-08-13,CERE,3.12
2024-08-13,VLX,3.12
2024-08-13,MBX,3.11
2024-08-13,FLR,3.07
2024-08-13,COMBO,3.07
2024-08-13,OAS,3.07
2024-08-13,SOLO,3.06
2024-08-13,EL,3.01
2024-08-13,ORN,2.99
2024-08-13,CTK,2.98
2024-08-13,ARDR,2.98
2024-08-13,ZRX,2.97
2024-08-13,STRK,2.95
2024-08-13,SFUND,2.93
2024-08-13,ARB,2.92
2024-08-13,TT,2.9
2024-08-13,CBK,2.9
2024-08-13,BEAM,2.89
2024-08-13,FCT,2.88
2024-08-13,BSV,2.87
2024-08-13,FTT,2.86
2024-08-13,GLM,2.86
2024-08-13,ALI,2.86
2024-08-13,GNO,2.85
2024-08-13,MYRIA,2.84
2024-08-13,REI,2.84
2024-08-13,STX,2.83
2024-08-13,POLYX,2.81
2024-08-13,DAG,2.8
2024-08-13,QUACK,2.79
2024-08-13,BTT,2.73
2024-08-13,HELLO,2.73
2024-08-13,UQC,2.71
2024-08-13,VITE,2.7
2024-08-13,CFG,2.7
2024-08-13,COMP,2.69
2024-08-13,STT,2.69
2024-08-13,ACM,2.68
2024-08-13,MBL,2.66
2024-08-13,VGX,2.66
2024-08-13,ACX,2.66
2024-08-13,AQT,2.65
2024-08-13,MCOIN,2.64
2024-08-13,NFT,2.64
2024-08-13,AKRO,2.61
2024-08-13,ACS,2.6
2024-08-13,APT,2.6
2024-08-13,ELA,2.6
2024-08-13,WRX,2.58
2024-08-13,PRQ,2.57
2024-08-13,MED,2.57
2024-08-13,IMX,2.56
2024-08-13,CEEK,2.55
2024-08-13,XNO,2.53
2024-08-13,NEAR,2.49
2024-08-13,STRX,2.49
2024-08-13,TRAC,2.48
2024-08-13,$MONG,2.47
2024-08-13,OP,2.46
2024-08-13,CHR,2.45
2024-08-13,FTN,2.45
2024-08-13,MAGIC,2.45
2024-08-13,GNS,2.44
2024-08-13,BLUR,2.44
2024-08-13,SSV,2.44
2024-08-13,CGPT,2.43
2024-08-13,TON,2.43
2024-08-13,ROUTE,2.43
2024-08-13,STRAX,2.42
2024-08-13,PRO,2.42
2024-08-13,SANTOS,2.42
2024-08-13,TLOS,2.4
2024-08-13,CRU,2.39
2024-08-13,WING,2.37
2024-08-13,MNTC,2.35
2024-08-13,ATLAS,2.35
2024-08-13,PDA,2.33
2024-08-13,BORG,2.33
2024-08-13,ICP,2.32
2024-08-13,KASTA,2.3
2024-08-13,SRX,2.29
2024-08-13,HIFI,2.28
2024-08-13,TET,2.28
2024-08-13,EDU,2.27
2024-08-13,BMX,2.27
2024-08-13,BOBO,2.26
2024-08-13,VRTX,2.25
2024-08-13,SOL,2.25
2024-08-13,SWFTC,2.23
2024-08-13,DC,2.23
2024-08-13,AURORA,2.21
2024-08-13,SWAP,2.2
2024-08-13,RON,2.2
2024-08-13,AITECH,2.18
2024-08-13,GEAR,2.17
2024-08-13,CRTS,2.16
2024-08-13,MKR,2.15
2024-08-13,APEX,2.14
2024-08-13,SYN,2.13
2024-08-13,STC,2.11
2024-08-13,BETA,2.1
2024-08-13,Gomining,2.1
2024-08-13,WMT,2.09
2024-08-13,DNX,2.08
2024-08-13,ZCX,2.06
2024-08-13,AGI,2.06
2024-08-13,CKB,2.05
2024-08-13,CAT,2.05
2024-08-13,PROPC,2.04
2024-08-13,ABT,2.01
2024-08-13,PEPE2.0,1.97
2024-08-13,LADYS,1.97
2024-08-13,AXL,1.97
2024-08-13,SUPER,1.95
2024-08-13,ERN,1.95
2024-08-13,SCLP,1.94
2024-08-13,TAVA,1.94
2024-08-13,MDX,1.94
2024-08-13,BAND,1.91
2024-08-13,MIX,1.91
2024-08-13,BOND,1.89
2024-08-13,BIOT,1.88
2024-08-13,PUNDIX,1.88
2024-08-13,EUL,1.87
2024-08-13,MAV,1.86
2024-08-13,SHIDO,1.85
2024-08-13,HONEY,1.85
2024-08-13,AUCTION,1.84
2024-08-13,AAVE,1.82
2024-08-13,HOOK,1.81
2024-08-13,WALLET,1.79
2024-08-13,BST,1.78
2024-08-13,BZZ,1.76
2024-08-13,POKT,1.76
2024-08-13,SPA,1.75
2024-08-13,SNEK,1.74
2024-08-13,RBN,1.73
2024-08-13,GAL,1.72
2024-08-13,POOLX,1.71
2024-08-13,XEC,1.7
2024-08-13,FET,1.7
2024-08-13,AR,1.69
2024-08-13,FLZ,1.69
2024-08-13,COREUM,1.69
2024-08-13,TRB,1.66
2024-08-13,PMG,1.66
2024-08-13,NUM,1.66
2024-08-13,PRIME,1.64
2024-08-13,GMX,1.63
2024-08-13,AIDOGE,1.63
2024-08-13,CREAM,1.63
2024-08-13,NODL,1.62
2024-08-13,CFX,1.62
2024-08-13,WAVES,1.6
2024-08-13,CITY,1.6
2024-08-13,INJ,1.6
2024-08-13,A8,1.59
2024-08-13,ETN,1.59
2024-08-13,RENDER,1.55
2024-08-13,TRADE,1.53
2024-08-13,ARG,1.52
2024-08-13,GFAL,1.52
2024-08-13,DCK,1.48
2024-08-13,BLOCK,1.48
2024-08-13,COTI,1.47
2024-08-13,PEPE,1.47
2024-08-13,XRP,1.45
2024-08-13,AMPL,1.44
2024-08-13,FITFI,1.44
2024-08-13,ML,1.44
2024-08-13,WEMIX,1.43
2024-08-13,ELON,1.41
2024-08-13,DVI,1.41
2024-08-13,HIGH,1.4
2024-08-13,BITCOIN,1.39
2024-08-13,AZERO,1.38
2024-08-13,NAKA,1.35
2024-08-13,FLOKI,1.35
2024-08-13,POLS,1.35
2024-08-13,DCB,1.33
2024-08-13,BRISE,1.33
2024-08-13,NEON,1.32
2024-08-13,CRV,1.32
2024-08-13,DEP,1.31
2024-08-13,ZEN,1.3
2024-08-13,GLQ,1.29
2024-08-13,TOMI,1.28
2024-08-13,UMA,1.28
2024-08-13,HARD,1.27
2024-08-13,NCT,1.25
2024-08-13,EPX,1.25
2024-08-13,LIME,1.22
2024-08-13,ATR,1.22
2024-08-13,CROWN,1.22
2024-08-13,WAGMIGAMES,1.21
2024-08-13,ORDI,1.21
2024-08-13,CSIX,1.2
2024-08-13,LISTA,1.2
2024-08-13,ZKL,1.19
2024-08-13,DIONE,1.18
2024-08-13,SUI,1.17
2024-08-13,BDX,1.16
2024-08-13,SAMO,1.13
2024-08-13,H2O,1.1
2024-08-13,LM,1.08
2024-08-13,CVTX,1.08
2024-08-13,SKL,1.08
2024-08-13,MPLX,1.06
2024-08-13,MNT,1.05
2024-08-13,AKT,1.04
2024-08-13,RLB,1.04
2024-08-13,SQUIDGROW,1.04
2024-08-13,HGPT,1.02
2024-08-13,VINU,1.0
2024-08-13,KUJI,1.0
2024-08-13,MVC,0.99
2024-08-13,KAS,0.99
2024-08-13,RSS3,0.98
2024-08-13,RARE,0.98
2024-08-13,AL,0.98
2024-08-13,FAR,0.96
2024-08-13,FORT,0.95
2024-08-13,WIFI,0.95
2024-08-13,YGG,0.94
2024-08-13,ENS,0.93
2024-08-13,ZENT,0.91
2024-08-13,BOB,0.91
2024-08-13,CTXC,0.9
2024-08-13,GOG,0.87
2024-08-13,OCTA,0.87
2024-08-13,HT,0.87
2024-08-13,PNK,0.84
2024-08-13,SWEAT,0.83
2024-08-13,MMIT,0.83
2024-08-13,PEPECOIN,0.82
2024-08-13,ELF,0.81
2024-08-13,ORBS,0.79
2024-08-13,BFC,0.78
2024-08-13,GMEE,0.76
2024-08-13,WLD,0.74
2024-08-13,ZYN,0.74
2024-08-13,ALU,0.74
2024-08-13,HPO,0.74
2024-08-13,MOBILE,0.73
2024-08-13,IRIS,0.72
2024-08-13,STIK,0.72
2024-08-13,PCI,0.71
2024-08-13,AREA,0.7
2024-08-13,LMR,0.69
2024-08-13,JASMY,0.67
2024-08-13,DAR,0.66
2024-08-13,STORJ,0.66
2024-08-13,OM,0.65
2024-08-13,BONK,0.64
2024-08-13,GHX,0.64
2024-08-13,BNX,0.64
2024-08-13,PENDLE,0.62
2024-08-13,VENOM,0.59
2024-08-13,SIDUS,0.57
2024-08-13,RIF,0.56
2024-08-13,BAKE,0.55
2024-08-13,ARKM,0.55
2024-08-13,ZIG,0.52
2024-08-13,DESO,0.51
2024-08-13,BFIC,0.51
2024-08-13,ZEC,0.51
2024-08-13,SABAI,0.5
2024-08-13,NOS,0.49
2024-08-13,CREDI,0.48
2024-08-13,ALEX,0.48
2024-08-13,ZETA,0.47
2024-08-13,DIMO,0.46
2024-08-13,QKC,0.43
2024-08-13,CLORE,0.41
2024-08-13,VELO,0.41
2024-08-13,MAPO,0.38
2024-08-13,CEL,0.38
2024-08-13,KLIMA,0.35
2024-08-13,LMWR,0.32
2024-08-13,AIOZ,0.32
2024-08-13,RAY,0.31
2024-08-13,HNT,0.3
2024-08-13,VR,0.29
2024-08-13,XPLA,0.26
2024-08-13,CVX,0.25
2024-08-13,PAAL,0.24
2024-08-13,GODS,0.23
2024-08-13,MPL,0.23
2024-08-13,SAFE,0.22
2024-08-13,SNS,0.21
2024-08-13,ALPH,0.19
2024-08-13,AMB,0.19
2024-08-13,XEM,0.15
2024-08-13,LAT,0.13
2024-08-13,ORCA,0.12
2024-08-13,STMX,0.12
2024-08-13,PEOPLE,0.11
2024-08-13,TAO,0.11
2024-08-13,GFT,0.09
2024-08-13,LOVELY,0.08
2024-08-13,MOG,0.05
2024-08-13,TURBO,0.04
